기준연월,지역명,검색량(건)
202301,울산광역시 동구,10667
202302,울산광역시 동구,11014
202303,울산광역시 동구,11662
202304,울산광역시 동구,12807
202305,울산광역시 동구,13071
202306,울산광역시 동구,15296
202307,울산광역시 동구,17114
202308,울산광역시 동구,16296
202309,울산광역시 동구,14567
202310,울산광역시 동구,16289
202311,울산광역시 동구,14010
202312,울산광역시 동구,13998
