기준연월,지역명,검색량(건)
202301,부산광역시 동래구,29855
202302,부산광역시 동래구,29415
202303,부산광역시 동래구,35198
202304,부산광역시 동래구,36642
202305,부산광역시 동래구,37232
202306,부산광역시 동래구,39038
202307,부산광역시 동래구,37007
202308,부산광역시 동래구,38607
202309,부산광역시 동래구,34622
202310,부산광역시 동래구,36587
202311,부산광역시 동래구,37117
202312,부산광역시 동래구,36963
