기준연월,지역명,검색량(건)
202301,대전광역시 대덕구,15853
202302,대전광역시 대덕구,15960
202303,대전광역시 대덕구,21105
202304,대전광역시 대덕구,19084
202305,대전광역시 대덕구,20482
202306,대전광역시 대덕구,19232
202307,대전광역시 대덕구,19090
202308,대전광역시 대덕구,22737
202309,대전광역시 대덕구,18636
202310,대전광역시 대덕구,20455
202311,대전광역시 대덕구,19226
202312,대전광역시 대덕구,18783
