기준연월,지역명,검색량(건)
202305,전라남도 여수시 ,58669
202306,전라남도 여수시 ,61407
202307,전라남도 여수시 ,63423
202308,전라남도 여수시 ,71238
202309,전라남도 여수시 ,55111
202310,전라남도 여수시 ,59230
202311,전라남도 여수시 ,54071
202312,전라남도 여수시 ,58837
202401,전라남도 여수시 ,64306
202402,전라남도 여수시 ,56818
202403,전라남도 여수시 ,59364
202404,전라남도 여수시 ,59646
