기준연월,지역명,검색량(건)
202301,경상남도 산청군 ,6704
202302,경상남도 산청군 ,6546
202303,경상남도 산청군 ,7152
202304,경상남도 산청군 ,7171
202305,경상남도 산청군 ,9600
202306,경상남도 산청군 ,8173
202307,경상남도 산청군 ,9040
202308,경상남도 산청군 ,11662
202309,경상남도 산청군 ,10880
202310,경상남도 산청군 ,9955
202311,경상남도 산청군 ,7246
202312,경상남도 산청군 ,6600
