기준연월,지역명,검색량(건)
202301,경상남도 거제시 ,28565
202302,경상남도 거제시 ,28623
202303,경상남도 거제시 ,31472
202304,경상남도 거제시 ,33852
202305,경상남도 거제시 ,39723
202306,경상남도 거제시 ,42003
202307,경상남도 거제시 ,47747
202308,경상남도 거제시 ,48114
202309,경상남도 거제시 ,37693
202310,경상남도 거제시 ,39757
202311,경상남도 거제시 ,36432
202312,경상남도 거제시 ,36297
