기준연월,지역명,검색량(건)
202301,강원특별자치도 속초시,47272
202302,강원특별자치도 속초시,48436
202303,강원특별자치도 속초시,46976
202304,강원특별자치도 속초시,45081
202305,강원특별자치도 속초시,56298
202306,강원특별자치도 속초시,63227
202307,강원특별자치도 속초시,72894
202308,강원특별자치도 속초시,87117
202309,강원특별자치도 속초시,62896
202310,강원특별자치도 속초시,64749
202311,강원특별자치도 속초시,54812
202312,강원특별자치도 속초시,57996
