일시,지역명,시군구,방문자 수
03,강원특별자치도,고성군,1501965
03,강원특별자치도,춘천시,9931063
03,강원특별자치도,원주시,1.08E+07
03,강원특별자치도,강릉시,8425384
03,강원특별자치도,동해시,3047065
03,강원특별자치도,태백시,1432034
03,강원특별자치도,속초시,3933772
03,강원특별자치도,삼척시,2396313
03,강원특별자치도,홍천군,2378499
03,강원특별자치도,횡성군,1572797
03,강원특별자치도,영월군,1086594
03,강원특별자치도,평창군,1957107
03,강원특별자치도,정선군,1402881
03,강원특별자치도,철원군,1300559
03,강원특별자치도,화천군,799713
03,강원특별자치도,양구군,757168
03,강원특별자치도,인제군,1220962
03,강원특별자치도,양양군,1861532
03,경기도,고양시 덕양구,1.28E+07
03,경기도,고양시 일산동구,1.02E+07
03,경기도,고양시 일산서구,7917179
03,경기도,성남시 수정구,7764679
03,경기도,성남시 중원구,4760530
03,경기도,성남시 분당구,1.91E+07
03,경기도,수원시 장안구,8790910
03,경기도,수원시 권선구,8532613
03,경기도,수원시 팔달구,1.00E+07
03,경기도,수원시 영통구,1.14E+07
03,경기도,안산시 상록구,6108644
03,경기도,의정부시,1.14E+07
03,경기도,안산시 단원구,1.06E+07
03,경기도,안양시 만안구,6135155
03,경기도,부천시,0
03,경기도,광명시,7379062
03,경기도,평택시,1.43E+07
03,경기도,동두천시,2430611
03,경기도,안양시 동안구,8628524
03,경기도,용인시 처인구,9133222
03,경기도,용인시 기흥구,1.29E+07
03,경기도,용인시 수지구,8839421
03,경기도,과천시,3784980
03,경기도,구리시,7906416
03,경기도,남양주시,1.72E+07
03,경기도,오산시,6818988
03,경기도,시흥시,1.14E+07
03,경기도,군포시,6807474
03,경기도,의왕시,4665451
03,경기도,하남시,1.04E+07
03,경기도,파주시,1.18E+07
03,경기도,이천시,7503174
03,경기도,안성시,6812925
03,경기도,김포시,1.30E+07
03,경기도,화성시,2.44E+07
03,경기도,광주시,1.06E+07
03,경기도,양주시,7573193
03,경기도,포천시,4946917
03,경기도,여주시,4587786
03,경기도,연천군,1583811
03,경기도,가평군,3008403
03,경기도,양평군,4611403
03,경기도,부천시 원미구,1.38E+07
03,경기도,부천시 소사구,4956543
03,경기도,부천시 오정구,3854346
03,경상남도,고성군,1775005
03,경상남도,창원시 의창구,6682368
03,경상남도,창원시 성산구,7613491
03,경상남도,창원시 마산합포구,5431443
03,경상남도,창원시 마산회원구,4650108
03,경상남도,창원시 진해구,4616974
03,경상남도,진주시,7380972
03,경상남도,통영시,3660103
03,경상남도,사천시,3123868
03,경상남도,김해시,1.29E+07
03,경상남도,밀양시,3337123
03,경상남도,거제시,9025260
03,경상남도,양산시,9430656
03,경상남도,의령군,870164
03,경상남도,함안군,1902620
03,경상남도,창녕군,1859614
03,경상남도,남해군,1504519
03,경상남도,하동군,1714236
03,경상남도,산청군,1025765
03,경상남도,함양군,1195893
03,경상남도,거창군,1629143
03,경상남도,합천군,1234548
03,경상북도,경주시,9376902
03,경상북도,김천시,3783854
03,경상북도,안동시,5244409
03,경상북도,구미시,9012533
03,경상북도,영주시,2967126
03,경상북도,영천시,2590655
03,경상북도,상주시,2863633
03,경상북도,문경시,1897371
03,경상북도,경산시,6758236
03,경상북도,의성군,1441038
03,경상북도,청송군,789449
03,경상북도,영양군,348953
03,경상북도,영덕군,1565516
03,경상북도,청도군,1478456
03,경상북도,고령군,988332
03,경상북도,성주군,1411482
03,경상북도,칠곡군,3382109
03,경상북도,예천군,1517561
03,경상북도,봉화군,687523
03,경상북도,울진군,1639750
03,경상북도,울릉군,321018
03,경상북도,포항시 남구,6470930
03,경상북도,포항시 북구,8036588
03,광주광역시,남구,3702836
03,광주광역시,동구,5283837
03,광주광역시,북구,1.16E+07
03,광주광역시,광산구,1.13E+07
03,광주광역시,서구,9676356
03,대구광역시,군위군,960854
03,대구광역시,남구,4619448
03,대구광역시,동구,1.13E+07
03,대구광역시,수성구,1.15E+07
03,대구광역시,달서구,1.47E+07
03,대구광역시,달성군,5953342
03,대구광역시,북구,1.25E+07
03,대구광역시,서구,3746649
03,대구광역시,중구,8220587
03,대전광역시,동구,6353381
03,대전광역시,유성구,1.31E+07
03,대전광역시,대덕구,4571400
03,대전광역시,서구,1.39E+07
03,대전광역시,중구,7097051
03,부산광역시,강서구,6302788
03,부산광역시,영도구,3599865
03,부산광역시,부산진구,1.27E+07
03,부산광역시,동래구,7427809
03,부산광역시,해운대구,1.29E+07
03,부산광역시,사하구,6409138
03,부산광역시,금정구,6686796
03,부산광역시,남구,7243993
03,부산광역시,연제구,4533402
03,부산광역시,수영구,5798452
03,부산광역시,사상구,5539671
03,부산광역시,기장군,6421878
03,부산광역시,동구,4458159
03,부산광역시,북구,6890547
03,부산광역시,서구,3418941
03,부산광역시,중구,4706420
03,서울특별시,종로구,1.78E+07
03,서울특별시,강서구,1.47E+07
03,서울특별시,용산구,1.41E+07
03,서울특별시,성동구,1.06E+07
03,서울특별시,광진구,1.32E+07
03,서울특별시,동대문구,1.13E+07
03,서울특별시,중랑구,9105114
03,서울특별시,성북구,1.26E+07
03,서울특별시,강북구,7193138
03,서울특별시,도봉구,7013302
03,서울특별시,노원구,1.52E+07
03,서울특별시,은평구,8789779
03,서울특별시,서대문구,1.35E+07
03,서울특별시,마포구,1.96E+07
03,서울특별시,양천구,8646225
03,서울특별시,구로구,1.19E+07
03,서울특별시,금천구,5304001
03,서울특별시,영등포구,1.86E+07
03,서울특별시,동작구,1.10E+07
03,서울특별시,관악구,1.25E+07
03,서울특별시,서초구,2.48E+07
03,서울특별시,강남구,3.60E+07
03,서울특별시,송파구,2.40E+07
03,서울특별시,강동구,1.22E+07
03,서울특별시,중구,1.86E+07
03,세종특별자치시,세종특별자치시,9308521
03,울산광역시,남구,9992931
03,울산광역시,동구,3829599
03,울산광역시,북구,5639756
03,울산광역시,울주군,7047104
03,울산광역시,중구,5210633
03,인천광역시,동구,1521479
03,인천광역시,미추홀구,1.02E+07
03,인천광역시,연수구,1.15E+07
03,인천광역시,남동구,1.17E+07
03,인천광역시,부평구,1.10E+07
03,인천광역시,계양구,6302210
03,인천광역시,강화군,3018746
03,인천광역시,옹진군,878861
03,인천광역시,서구,1.55E+07
03,인천광역시,중구,1.30E+07
03,전라남도,목포시,7946968
