일시,지역명,시군구,방문자 수
05,강원특별자치도,춘천시,1.16E+08
05,강원특별자치도,원주시,1.25E+08
05,강원특별자치도,강릉시,1.01E+08
05,강원특별자치도,동해시,3.66E+07
05,강원특별자치도,태백시,1.82E+07
05,강원특별자치도,속초시,5.06E+07
05,강원특별자치도,삼척시,2.88E+07
05,강원특별자치도,홍천군,3.23E+07
05,강원특별자치도,횡성군,2.08E+07
05,강원특별자치도,영월군,1.45E+07
05,강원특별자치도,평창군,2.94E+07
05,강원특별자치도,정선군,1.92E+07
05,강원특별자치도,철원군,1.67E+07
05,강원특별자치도,화천군,1.10E+07
05,강원특별자치도,양구군,9383620
05,강원특별자치도,인제군,1.75E+07
05,강원특별자치도,고성군,2.12E+07
05,강원특별자치도,양양군,2.61E+07
05,경기도,수원시 장안구,9.32E+07
05,경기도,수원시 권선구,9.70E+07
05,경기도,수원시 팔달구,1.10E+08
05,경기도,수원시 영통구,1.27E+08
05,경기도,성남시 수정구,8.42E+07
05,경기도,성남시 중원구,5.65E+07
05,경기도,성남시 분당구,2.21E+08
05,경기도,의정부시,1.32E+08
05,경기도,안양시 만안구,7.18E+07
05,경기도,안양시 동안구,1.03E+08
05,경기도,부천시,1.46E+08
05,경기도,광명시,8.75E+07
05,경기도,평택시,1.67E+08
05,경기도,동두천시,2.81E+07
05,경기도,안산시 상록구,7.37E+07
05,경기도,안산시 단원구,1.21E+08
05,경기도,고양시 덕양구,1.55E+08
05,경기도,고양시 일산동구,1.24E+08
05,경기도,고양시 일산서구,9.56E+07
05,경기도,과천시,4.33E+07
05,경기도,구리시,9.31E+07
05,경기도,남양주시,2.04E+08
05,경기도,오산시,7.55E+07
05,경기도,시흥시,1.34E+08
05,경기도,군포시,8.02E+07
05,경기도,의왕시,5.45E+07
05,경기도,하남시,1.22E+08
05,경기도,용인시 처인구,1.06E+08
05,경기도,용인시 기흥구,1.47E+08
05,경기도,용인시 수지구,1.00E+08
05,경기도,파주시,1.39E+08
05,경기도,이천시,8.76E+07
05,경기도,안성시,7.90E+07
05,경기도,김포시,1.57E+08
05,경기도,화성시,2.78E+08
05,경기도,광주시,1.24E+08
05,경기도,양주시,8.95E+07
05,경기도,포천시,5.92E+07
05,경기도,여주시,5.52E+07
05,경기도,연천군,1.90E+07
05,경기도,가평군,4.18E+07
05,경기도,양평군,5.81E+07
05,경기도,부천시 원미구,6.55E+07
05,경기도,부천시 소사구,2.31E+07
05,경기도,부천시 오정구,1.82E+07
05,경상남도,창원시 의창구,7.74E+07
05,경상남도,창원시 성산구,8.91E+07
05,경상남도,창원시 마산합포구,6.38E+07
05,경상남도,창원시 마산회원구,5.51E+07
05,경상남도,창원시 진해구,5.05E+07
05,경상남도,진주시,8.51E+07
05,경상남도,통영시,4.30E+07
05,경상남도,사천시,3.70E+07
05,경상남도,김해시,1.50E+08
05,경상남도,밀양시,3.87E+07
05,경상남도,거제시,1.08E+08
05,경상남도,양산시,1.07E+08
05,경상남도,의령군,1.01E+07
05,경상남도,함안군,2.33E+07
05,경상남도,창녕군,2.16E+07
05,경상남도,고성군,2.03E+07
05,경상남도,남해군,1.78E+07
05,경상남도,하동군,1.45E+07
05,경상남도,산청군,1.34E+07
05,경상남도,함양군,1.51E+07
05,경상남도,거창군,2.02E+07
05,경상남도,합천군,1.53E+07
05,경상북도,포항시 남구,7.64E+07
05,경상북도,포항시 북구,9.38E+07
05,경상북도,경주시,1.11E+08
05,경상북도,김천시,4.20E+07
05,경상북도,안동시,6.04E+07
05,경상북도,구미시,1.02E+08
05,경상북도,영주시,3.37E+07
