일시,지역명,시군구,방문자 수
01,강원특별자치도,고성군,1452663
01,강원특별자치도,춘천시,9024519
01,강원특별자치도,원주시,9956163
01,강원특별자치도,강릉시,8218107
01,강원특별자치도,동해시,2874821
01,강원특별자치도,태백시,1546059
01,강원특별자치도,속초시,3922435
01,강원특별자치도,삼척시,2118600
01,강원특별자치도,홍천군,2500050
01,강원특별자치도,횡성군,1573054
01,강원특별자치도,영월군,977559
01,강원특별자치도,평창군,2640901
01,강원특별자치도,정선군,1640608
01,강원특별자치도,철원군,1171867
01,강원특별자치도,화천군,973848
01,강원특별자치도,양구군,672380
01,강원특별자치도,인제군,1158639
01,강원특별자치도,양양군,1769662
01,경기도,고양시 덕양구,1.24E+07
01,경기도,고양시 일산동구,1.00E+07
01,경기도,고양시 일산서구,7688315
01,경기도,성남시 수정구,6750836
01,경기도,성남시 중원구,4415157
01,경기도,성남시 분당구,1.84E+07
01,경기도,수원시 장안구,7658798
01,경기도,수원시 권선구,7982030
01,경기도,수원시 팔달구,8982205
01,경기도,수원시 영통구,1.04E+07
01,경기도,안산시 상록구,5592240
01,경기도,의정부시,1.09E+07
01,경기도,안산시 단원구,9795778
01,경기도,안양시 만안구,5578209
01,경기도,부천시,0
01,경기도,광명시,6987097
01,경기도,평택시,1.37E+07
01,경기도,동두천시,2346633
01,경기도,안양시 동안구,8401208
01,경기도,용인시 처인구,7957786
01,경기도,용인시 기흥구,1.15E+07
01,경기도,용인시 수지구,8134368
01,경기도,과천시,3245332
01,경기도,구리시,7350838
01,경기도,남양주시,1.58E+07
01,경기도,오산시,6055814
01,경기도,시흥시,1.05E+07
01,경기도,군포시,6500650
01,경기도,의왕시,4186882
01,경기도,하남시,9742785
01,경기도,파주시,1.12E+07
01,경기도,이천시,6874981
01,경기도,안성시,6039290
01,경기도,김포시,1.23E+07
01,경기도,화성시,2.22E+07
01,경기도,광주시,9892089
01,경기도,양주시,7024978
01,경기도,포천시,4280611
01,경기도,여주시,3829887
01,경기도,연천군,1386396
01,경기도,가평군,2638016
01,경기도,양평군,3994872
01,경기도,부천시 원미구,1.30E+07
01,경기도,부천시 소사구,4591163
