LDGS_CD,LDGS_NM,LDGS_ZIP_NO,LDGS_ROAD_NM_ADDR
1019284,인천(간석동) 버스,21544,인천 남동구 석촌로46번길 50 (간석동)
1019288,제주 You&I 게스트하우스,63207,제주특별자치도 제주시 광양8길 1-2 (이도이동)
1019295,건대 루나게스트하우스,05007,서울특별시 광진구 동일로 170-10 (세종장여관)
1019298,신림 쿨,08760,서울특별시 관악구 신림동1길 11 (신림동)
1019305,제주 한그루 게스트하우스,63009,제주특별자치도 제주시 한경면 주전길 92-54
1019308,제주 고궁 펜션형 게스트하우스,63643,제주특별자치도 서귀포시 성산읍 성산중앙로 54
1019309,제주 그린 게스트하우스,63283,제주특별자치도 제주시 사라봉7길 44 (건입동)
1019321,제주 뱅디가름 게스트하우스,63641,제주특별자치도 서귀포시 성산읍 서성일로1222번길 17
1019323,신림 모아모아,08760,서울특별시 관악구 신림동1길 13 (신림동)
1019325,대구 동대구역 호텔 런던 부띠끄,41253,대구광역시 동구 동부로30길 100-1
1019326,부산 남포동 J,48953,부산광역시 중구 남포길 12-2(남포동5가)
1019329,태릉(공릉동) M,01860,서울특별시 노원구 화랑로 413
1019332,칠곡 석적 썸,39839,경상북도 칠곡군 석적읍 북중리2길 46
1019335,창원 상남동 라파엘 호텔,51504,경상남도 창원시 성산구 상남로 71 (상남동)
1019337,화곡 아리아,07775,서울특별시 강서구 월정로18길 9 (화곡동)
1019339,창원 진해 CN,51617,경상남도 창원시 진해구 웅천중로 12
1019349,춘천 수향,24210,강원도 춘천시 동면 춘천로 575
1019351,가평 자라섬 게스트하우스,12420,경기도 가평군 가평읍 오리나무길 51
1019352,구로 시티파크,08309,서울특별시 구로구 구로동로25길 20 (구로동)
1019353,강릉(정동진) 정동진호텔,25631,강원도 강릉시 강동면 율곡로 1055
1019362,청주 킹,28481,충청북도 청주시 청원구 새터로59번길 3
1019365,용인 컬리넌,17051,경기도 용인시 처인구 백옥대로 1102 (김량장동)
1019369,동대문(동묘역앞) 그린파크,03114,서울특별시 종로구 종로56길 14 (숭인동)
1019375,제주 사하라호텔,63182,제주특별자치도 제주시 서광로 265 (삼도1동)
1019378,제주 애플호텔,63196,제주특별자치도 제주시 동광로 45 애플관광호텔 (이도1동)
1019382,부산 서면 호텔 더 스위트,47287,부산광역시 부산진구 중앙대로691번가길 14-9
1019383,신림 아람,08759,서울특별시 관악구 남부순환로 1593-6 (신림동)
1019385,성북(정릉역) 프라다 호텔,02700,서울특별시 성북구 보국문로40길 9 (모텔다인)
1019386,서귀포 에쿠스,63530,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 5
1019394,구미 인동 호텔 까사 루시도,39411,경상북도 구미시 인동32길 13-8
1019397,양산 북부동 파스타 호텔,50616,경상남도 양산시 북안북3길 16-1 1-5층
1019401,진주 호텔 비치,52682,경상남도 진주시 비봉로 53-1
1019402,경산 짝 무인텔,38631,경상북도 경산시 경안로 155
1019403,대구 동성로 제로 게스트하우스,41913,대구광역시 중구 동성로12길 9 (동문동) 2F~3F
1019410,광주 상무 신라,61964,광주광역시 서구 상무평화로 127 (치평동)
1019411,하남 바로호텔,12951,경기도 하남시 대청로22번길 9-5 (신장동)
1019414,논현 휴,06061,서울특별시 강남구 학동로43길 8
1019418,파주 웨스트힐 호텔,10862,경기도 파주시 탄현면 요풍길 68-16
1019426,전주 신시가지 오스카,54969,전북 전주시 완산구 홍산북로 84-6 (효자동3가)
1019428,전주 우아동 호텔 노이(HOTEL NEUE),55023,전라북도 전주시 덕진구 아중4길 21 (우아동2가)
1019429,미아 카누(삼양동사거리),01201,서울특별시 강북구 삼양로30길 12 (미아동)
1019431,대구 동대구역 hotel 체리쉬,41251,대구광역시 동구 동부로30길 74
1019433,수원(인계동) NO.1 넘버원,16488,경기 수원시 팔달구 권광로180번길 42-20 (인계동)
1019437,약수 프린스모텔,04607,서울특별시 중구 다산로 131
1019438,김해 장유 투하트 호텔(워터파크점),50988,경남 김해시 번화1로75번길 17 (대청동)
1019439,왕십리 라테라,04709,서울특별시 성동구 왕십리로22길 16-1
1019440,수원시청역 소설 스미스 호텔,16571,경기 수원시 권선구 경수대로384번길 27 (권선동)
1019442,원주 Q,26415,강원도 원주시 평원로 139 (학성동)
1019448,인천(용현동) DK,22186,인천광역시 미추홀구 아암대로53번길 21
1019450,의령 아비숑,52138,경상남도 의령군 의령읍 의병로6길 8
1019453,광명 썸,14303,경기도 광명시 범안로 992 (하안동)
1019456,성남 YAJA 모란역점,13364,경기 성남시 중원구 성남대로1148번길 29 (성남동)
1019457,인천(용현동) 크라운,22186,인천광역시 미추홀구 토금남로3번길 10
1019460,전주 중화산동 알프스,54985,전라북도 전주시 완산구 한두평1길 13-5
1019461,충주(수안보)사이판 온천호텔,27497,충청북도 충주시 수안보면 온천천변길 39-5
1019462,전주 중화산동 엠파이어,54985,전라북도 전주시 완산구 한두평1길 13-3 (중화산동2가)
1019464,광주 금호 드림,62014,광주광역시 서구 풍금로177번길 7
1019472,인천(용현동) S,22186,인천광역시 미추홀구 토금중로3번길 14
1019474,경산 TOP (탑),38629,경상북도 경산시 서상길 72
1019476,익산 신라,54674,전라북도 익산시 익산대로2길 17
1019478,부산 온천장 라메르,47708,부산광역시 동래구 온천장로125번길 9-8 (온천동)
1019484,대구 옥포 오늘,42971,대구광역시 달성군 옥포읍 비슬로453길 11
1019486,부산 사상 빈스70,46970,부산광역시 사상구 사상로211번길 56 (괘법동)
1019488,인천(송도) YAJA 인천 송도점,21946,인천광역시 연수구 능허대로191번길 6
1019491,전주 산정동 호텔 에비뉴(HOTEL AVENUE),55015,전라북도 전주시 덕진구 산정2길 12-16 (산정동)
1019495,대구 동성로 아트,41914,대구 중구 경상감영길 298-7 (동인동2가)
1019498,인천(부평) RG,21363,인천 부평구 원길로11번길 7 (산곡동)
1019501,부산 동래 하루,47821,부산광역시 동래구 충렬대로86번길 9
1019504,신도림 베르투(VER.2),08296,서울특별시 구로구 새말로16길 62 (구로동)
1019506,영등포 호텔 그곳에,07304,서울 영등포구 영중로4길 15-5 (영등포동3가)
1019507,부천(송내) MOMO,14623,경기도 부천시 상일로122번길 24
1019508,부천(원종동) 리버모텔,14420,경기도 부천시 원종로65번길 22 (원종동)
1019509,강화도(석모도) 바다가보이는사이판,23054,인천 강화군 내가면 해안서로 1011
1019512,양산 남부동 자바 호텔,50622,경상남도 양산시 중앙로 100 (남부동)
1019513,동두천 빅토리아,11330,경기도 동두천시 생연로 128-1
1019517,용산(보광) 삼성모텔,04416,서울특별시 용산구 장문로 116
1019518,진천 이팝 무인텔,27819,충청북도 진천군 이월면 진광로 259-1
1019519,광주 상무 호텔 맨하탄,61949,광주광역시 서구 상무연하로 73
1019525,속초 별 헤는 밤,24893,강원 속초시 동해대로 3957
1019526,부산역 탑,48821,부산광역시 동구 중앙대로196번길 12-15
1019527,북촌 인우하우스 한옥스테이,03051,서울특별시 종로구 계동6길 9
1019531,인천(부평) 동경,21396,인천광역시 부평구 부평문화로116번길 18 (동경파크텔)
1019538,영등포 하라스(Harrahs),07304,서울 영등포구 영중로4길 15-6 (영등포동3가)
1019540,명동 블루보트 게스트하우스,04555,서울특별시 중구 수표로 22-4 (충무로3가)
1019542,사천 궁 드라이브인 무인텔,52503,경상남도 사천시 곤명면 봉명로 17
1019547,강남 YAJA 강남 논현점,06109,서울 강남구 봉은사로37길 6 (논현동)
1019548,청주 미엘호텔,28776,충북 청주시 상당구 월평로184번길 130
1019549,연신내 쏠,03385,서울특별시 은평구 연서로 220-1 (대조동)
1019550,평촌 에비뉴 186,14066,경기 안양시 동안구 관평로186번길 27 (관양동)
1019553,서울 댓하우스 게스트하우스,03785,서울특별시 서대문구 신촌로3가길 29
1019556,수원역 제이(J)호텔,16455,경기도 수원시 팔달구 팔달로 6
1019560,광주 신안동 나인 드라이브인 호텔,61251,광주광역시 북구 무등로202번길 25
1019563,광주 첨단 헤지스,62278,광주광역시 광산구 임방울대로825번길 22-9 (쌍암동)
1019564,진주 아이스크림,52749,경상남도 진주시 진주대로1134번길 6
1019567,대전 신탄진 23st,34311,대전광역시 대덕구 신탄진동로23번길 69 (신탄진동)
1019575,춘천 티파니,24329,강원특별자치도 춘천시 금강로 133-1
1019576,울산 성남동 호텔마르,44529,울산광역시 중구 중앙2길 6
1019581,서울 돈키호테 게스트하우스,04384,서울특별시 용산구 서빙고로51길 4 (서빙고동)
1019582,서울 벙크 게스트하우스,04053,서울특별시 마포구 와우산로29라길 19-1 (서교동)
1019585,포항 상도동 킹덤,37761,경상북도 포항시 남구 중흥로61번길 12
1019589,안산 피노키오,15258,경기도 안산시 상록구 광덕산2로 18
1019591,제부도 바다와 하늘,18553,경기도 화성시 서신면 제부로 252-19
1019592,제부도(궁평항) 필무인텔,18555,경기도 화성시 서신면 제부로 890-8
1019594,신림 봄(Bom) 1호점,08846,서울 관악구 호암로 595 (신림동)
1019596,천안 B호텔,31131,충청남도 천안시 동남구 미나릿길 18-6
1019599,완주 거기 무인텔 2,55367,전라북도 완주군 이서면 콩쥐팥쥐로 984-31
1019600,서울 드림 게스트하우스,04635,서울특별시 중구 퇴계로6길 22-1
1019601,부천(원종동) 마리,14420,경기 부천시 소사로776번길 48 (원종동)
1019603,거제도 장평 투데이,53265,경상남도 거제시 장평1로9길 25
1019604,양산 북부동 이그니스,50616,경상남도 양산시 북안북3길 16 (북부동) 양산 북부동 이그니스
1019605,광주 첨단 HOTEL W,62275,광주광역시 광산구 임방울대로825번길 21-11 (쌍암동)
1019606,김포 호텔라르,10126,경기도 김포시 고촌읍 장차로5번길 5-9
1019611,양산 물금 투헤븐,50657,경남 양산시 물금읍 버들1길 4-13
1019612,분당 밀,13576,경기도 성남시 분당구 만세길 17 (율동)
1019615,안양 HOTEL 꿈꾸다,14001,경기도 안양시 만안구 안양로319번길 26
1019625,포천 힐하우스,11186,경기도 포천시 소흘읍 광릉수목원로 673
1019630,창원 북면 SOME(썸),51101,경상남도 창원시 의창구 북면 천주로1165번길 53
1019632,창원 상남동 CNN 호텔,51495,경상남도 창원시 성산구 상남로 118 (상남동)
1019633,전주 금암동 투헤븐,54933,전라북도 전주시 덕진구 용산2길 7 (금암동)
1019639,대구 동촌 힐,41143,대구광역시 동구 동촌로11길 5-41
1019640,태릉 인(INN),02001,서울특별시 중랑구 동일로 959
1019643,여수 프린스,59726,전라남도 여수시 동문로 87-1 (공화동)
1019644,종로 연당 한옥스테이,03057,서울특별시 종로구 계동6길 3 (계동)
1019646,서울 스타 게스트하우스,04526,서울특별시 중구 남대문로1길 26-10 (북창동)
1019651,인천(소래포구) 스테이25,21673,인천광역시 남동구 앵고개로948번길 54 (논현동)
1019654,청송 S,37423,경상북도 청송군 청송읍 휴양단지길 23
1019661,화성(향남) 스테이13,18593,경기도 화성시 향남읍 평4길 13
1019664,군산 WIN,54076,전라북도 군산시 조촌안5길 40 (경장동)
1019665,화성 발리,18570,경기도 화성시 우정읍 고온리안길102번길 26
1019668,제주 알리바호텔,63182,제주특별자치도 제주시 서광로 251 (삼도1동)
1019669,인천(부평) 더 상상 호텔,21389,인천광역시 부평구 경원대로1377번길 17-10
1019670,제주 버킹검,63125,제주특별자치도 제주시 삼무로9길 39
1019673,군산 투투,54076,전라북도 군산시 조촌안2길 31 (경장동)
1019681,서울 빅존스 플레이스 게스트하우스,06124,서울특별시 강남구 강남대로110길 31-1 (역삼동)
1019682,경산 IC,38489,경상북도 경산시 진량읍 대학로 948-1
1019684,잠실 HOTEL 2.4,05545,서울특별시 송파구 오금로11길 55-16 (방이동)
1019686,포항 해도동 스테이 호텔,37775,경상북도 포항시 남구 중앙로131번길 1 (해도동)
1019687,광주 풍암동 S,62058,광주광역시 서구 풍암1로21번길 15-17
1019688,종로 HOTEL RAWA(호텔 라와),03139,서울특별시 종로구 수표로26길 3
1019692,용산 평안모텔,04363,서울특별시 용산구 원효로41길 47-4
1019693,"진주 호텔 쉬자 진주점(구, 하루호텔)",52749,경상남도 진주시 진주대로 1130
1019697,영등포 남영,07223,서울특별시 영등포구 당산로50길 9-1 (당산동6가)
1019704,부산 블루백팩커스 게스트하우스,47283,부산광역시 부산진구 신천대로102번길 8-8 (부전동)
1019706,의왕 컬리넌,16037,경기 의왕시 갈미안로 15 (내손동)
1019707,칠곡 석적 비너스,39839,경상북도 칠곡군 석적읍 북중리1길 48
1019708,화성 스위스,18551,경기도 화성시 송산면 송산포도로 309-4
1019710,대전 용전 KB,34550,대전광역시 동구 동서대로1705번길 58-18
1019711,춘천 조히텔,24234,강원도 춘천시 후석로370번길 8
1019714,울산 진하 호텔 빅토리아,45013,울산광역시 울주군 서생면 깨목4길 12
1019716,부산 남포동 폭시,48951,부산광역시 중구 중앙대로41번길 24
1019718,울산 일산 명품 코보스,44057,울산 동구 해수욕장5길 30 (일산동)
1019720,오산 럭셔리 관광호텔,18141,경기도 오산시 경기대로 231
1019726,강릉(정동진) M,25630,강원도 강릉시 강동면 산성우리길 13
1019727,동해 리사호텔,25769,강원특별자치도 동해시 천곡로 86-1 (리사모텔)
1019728,홍천 궁전,25112,강원도 홍천군 북방면 영서로 2876
1019730,제주 돌과바람 호스텔,63605,제주특별자치도 서귀포시 하신상로 166
1019731,서귀포 섬게스트하우스,63596,제주특별자치도 서귀포시 칠십리로 61-1
1019733,역삼 아마레,06227,서울 강남구 논현로 328 (역삼동)
1019736,대구 팔공산 1실 1주차(무인카) 스카이호텔,41007,대구광역시 동구 팔공산로185길 33-8
1019740,부산 사상 에어텔,46990,부산광역시 사상구 낙동대로1048번길 36
1019741,순천 비타민,57960,전라남도 순천시 상풍길 34 (풍덕동)
1019742,평창 그린앤블루,25345,강원도 평창군 대관령면 대관령로 56
1019743,포항 상도동 뉴그랜드,37768,경상북도 포항시 남구 상도로42번길 16
1019744,대구 동성로 쇼&쿡,41921,대구광역시 중구 국채보상로99길 46 (시장북로)
1019745,태릉 호텔 드씨엘(De Ciel),02045,서울특별시 중랑구 동일로 866 (묵동)
1019748,거제도 사등 젠틀맨 드라이브인 무인텔,53276,경상남도 거제시 사등면 성포로 280
1019749,음성 블랙&화이트,27663,충청북도 음성군 대소면 신내로391번길 157
1019752,영천 썸 무인텔,38840,경상북도 영천시 오수1길 44
1019755,증평 태평,27930,충청북도 증평군 증평읍 윗장뜰길 29
1019762,광주 중흥동 GO,61237,광주광역시 북구 경양로165번길 21 (중흥동)
1019764,전주 덕진동 호텔 스마일(HOTEL SMILE),54897,전라북도 전주시 덕진구 송천중앙로 12-12 (덕진동2가)
1019767,신당 A (에이),04611,서울특별시 중구 퇴계로76길 30
1019769,월곶 선샤인,14968,경기도 시흥시 월곶중앙로14번길 46
1019771,안동 파크호텔,36705,경상북도 안동시 경동로 707
1019773,홍천 알프스,25135,강원도 홍천군 홍천읍 홍천로 281
1019774,인천(선재도) 짝,23123,인천광역시 옹진군 영흥면 선재로186번길 72
1019776,강릉 썬,25626,강원도 강릉시 강동면 안인일출길 46
1019778,목포 비너스,58685,전라남도 목포시 삼향천로 57
1019779,광주 첨단 K,62278,광주광역시 광산구 임방울대로 825번길 22-7
1019780,제주 다이아몬드호텔,63124,제주특별자치도 제주시 신대로12길 42 (연동)
1019782,순천 사모아,57956,전남 순천시 장천2길 30
1019784,보성 관광모텔,59458,전라남도 보성군 보성읍 현충로 6
1019785,부천 레드,14636,경기도 부천시 부일로432번길 20 (심곡동)
1019786,인천(동인천) 테마,22318,인천광역시 중구 우현로62번길 3-1 (용동)
1019787,부산 강서 신호동 호텔 더메이,46759,부산광역시 강서구 신호산단1로217번길 27
1019788,인천(동인천) ING,22316,인천광역시 중구 개항로 53-9
1019790,울산 삼산 알리바바 HOTEL,44716,울산 남구 삼산로 406 (삼산동)
1019794,포천(송우리) 발트 호텔,11175,경기도 포천시 소흘읍 솔모루로81번길 6
1019796,광주 충장로 호텔 듀(HOTEL DUU),61479,광주광역시 동구 구성로144번길 9
1019797,부산 구포 캣츠,46501,부산광역시 북구 낙동대로1694번나길 21
1019798,부산 영도 M,49125,부산광역시 영도구 하리해안길 6-13
1019800,울산 정자동 더힐,44233,울산광역시 북구 동해안로 1525
1019807,논산 로망스,32969,충청남도 논산시 중앙로 456-1
1019813,대구 가창 레드,42940,대구 달성군 가창면 가창로 178
1019814,경산 쉼표,38632,경상북도 경산시 원효로 28-4 (중방동)
1019815,남해 호텔 어반아일랜드,52449,경상남도 남해군 창선면 서부로 1503-22
1019816,여수 오페라,59769,전남 여수시 돌산읍 강남1길 39-17
1019821,인천(부평) 레이크,21389,인천광역시 부평구 경원대로1367번길 26-10
1019823,대전 신탄진 페이지,34310,대전광역시 대덕구 신탄진동로35번길 9
1019827,광주 상무 호텔 하바나(HOTEL HAVANA),61949,광주광역시 서구 상무중앙로78번길 20
1019830,광주 백운동 프린스,61656,광주광역시 남구 독립로 9-14
1019834,문경 온천 호텔,36918,경상북도 문경시 문경읍 온천2길 5
1019840,서귀포 스타성,63592,제주특별자치도 서귀포시 중앙로71번길 15-4 (서귀동)
1019850,서울 아띠 게스트하우스,04624,서울특별시 중구 서애로 22-1 (필동3가)
1019852,부산 서면 상큼,47253,부산광역시 부산진구 부전로140번길 16
1019854,창원 진해 파스타,51685,경남 창원시 진해구 제황로80번길 9 (충무동)
1019855,김해 장유 나인,50988,경상남도 김해시 번화1로67번길 6 (대청동)
1019857,경주 아루 미니호텔,38061,경상북도 경주시 충효중앙길 67
1019860,중랑 T,02117,서울특별시 중랑구 중랑역로 4 (중화동)
1019862,연천 홀인원,11031,경기도 연천군 전곡읍 선사로 183-3
1019863,동두천 카라,11328,경기도 동두천시 중앙로273번길 21
1019866,전주 가은채 한옥스테이,55041,전라북도 전주시 완산구 한지길 68-13
1019870,전주 색동저고리 한옥스테이,55045,전라북도 전주시 완산구 전주천동로 64-10 (교동)
1019872,목포 샤르망,58689,전라남도 목포시 신흥로59번길 5
1019879,대전 유성 파로스,34184,대전 유성구 한밭대로492번길 26-28 (봉명동)
1019882,청도 오로라호텔,38324,경상북도 청도군 화양읍 삼신길 31
1019883,대전 둔산 500호,35233,대전광역시 서구 둔산로65번길 39
1019886,대전 중리 피닉스,34394,대전광역시 대덕구 중리로7번길 14-23
1019889,양평 COZY,12502,경기도 양평군 서종면 북한강로 995
1019891,양평 허브,12566,경기도 양평군 개군면 개군로 131
1019893,진천 초콜렛무인텔,27826,충청북도 진천군 진천읍 문진로 1008-1
1019897,대전 중리 드래곤캐슬,34394,대전광역시 대덕구 중리로7번길 14-9 (중리동)
1019899,대전 신탄진 스카이,34311,대전광역시 대덕구 신탄진동로23번길 43 (신탄진동)
1019900,대전 신탄진 블루,34310,대전광역시 대덕구 신탄진동로35번길 5 (신탄진동)
1019901,이천 G,17403,경기도 이천시 부발읍 경충대로 1732-1
1019911,역삼 인트로 호텔,06142,서울 강남구 테헤란로37길 13-11 (역삼동)
1019912,부산 광안리 넘버25 광안점,48283,부산광역시 수영구 광안해변로284번길 16
1019916,대전 중리 호텔 아트빈,34395,대전광역시 대덕구 한밭대로1149번길 21 (중리동)
1019919,무주 그린,55521,전라북도 무주군 무주읍 주계로 137
1019920,부산 수영 호텔 스미스,48266,부산광역시 수영구 수영로 690-10
1019925,강릉 HOTEL Vv,25512,강원도 강릉시 하슬라로192번길 22-1 (교동)
1019927,창원 봉곡동 롤,51176,경상남도 창원시 의창구 원이대로261번길 6-30 (봉곡동)
1019931,아산 호텔 아트리움,31570,충청남도 아산시 온화로17번길 11
1019932,부산 서면 퀸스호텔,47287,부산광역시 부산진구 부전로 56
1019934,안양 CC,13992,경기도 안양시 만안구 만안로 222
1019936,전주 중앙동 한옥호텔 궁,55043,전북 전주시 완산구 풍남문4길 25-19 (중앙동4가)
1019939,아산 레인보우,31442,충청남도 아산시 음봉면 아산온천로243번길 78-3
1019943,안동 고타야 게스트하우스,36705,"경상북도 안동시 동흥1길 20 (동부동, 고타야)"
1019944,노원 럭스,01689,서울 노원구 노해로75길 14-3 (상계동)
1019945,통영 민 게스트하우스,53041,경상남도 통영시 안개로 14-14 (무전동)
1019950,수원시청역 갤러리아호텔,16571,경기도 수원시 권선구 효원로266번길 23 (권선동)
1019951,울산 삼산 샵,44716,울산광역시 남구 산업로647번길 23
1019952,전주 민트 게스트하우스,55100,전라북도 전주시 완산구 서학로 27-2 (동서학동)
1019960,경산 인스타호텔,38628,경상북도 경산시 중앙로14길 7-1
1019974,부산 송정 하루,48070,부산광역시 해운대구 송정중앙로15번길 19 (송정동)
1019975,역삼 카파스,06221,서울 강남구 언주로89길 21 (역삼동)
1019976,남원 초콜릿,55736,전라북도 남원시 충정로 220-9 (도통동)
1019977,울산 삼산 솜누스,44712,울산광역시 남구 삼산로395번길 12
1019978,속초 리츠호텔,24811,강원 속초시 영금정로 27 (동명동)
1019980,부여 수 모텔,33145,충청남도 부여군 부여읍 사비로99번길 8-6
1019985,인천(주안) 보스코,22135,인천광역시 미추홀구 미추홀대로722번길 33
1019986,인덕원 체스 호텔,13951,경기도 안양시 동안구 인덕원로30번길 73
1019990,제주 사모아모텔,63277,제주특별자치도 제주시 임항로 16 (건입동)
1019991,대전 신탄진 로하스,34311,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동)
1019993,대구 동대구역 WIN,41222,대구광역시 동구 신암남로 128
1020003,안동 해피큐,36697,경상북도 안동시 광석4길 11 (광석동)
1020006,대전 유천 럭키,34973,대전광역시 중구 유천로 57 (유천동)
1020009,제주 마로호스텔,63253,제주특별자치도 제주시 동광로21길 5 (일도2동)
1020022,경주 옥산서원길 게스트하우스,38000,경상북도 경주시 안강읍 옥산서원길 217
1020024,종로 우미관,03190,서울특별시 종로구 종로14길 4 (관철동)
1020028,부산 광안리 J,48255,부산광역시 수영구 수영로 589-1 (광안동)
1020031,경주 감포 자자,38125,경상북도 경주시 감포읍 동해안로 2458
1020033,경주 하라,38127,경상북도 경주시 영불로 236
1020035,김해 장유 휴앤 호텔,51004,경상남도 김해시 번화1로56번길 31
1020037,전주 금암동 스토리 무인텔,54933,전라북도 전주시 덕진구 용산2길 8
1020039,청주 위드스테이호텔 청주성안점,28528,충청북도 청주시 상당구 남사로83번길 36-10 (서문동)
1020040,부천 유앤미,14644,경기 부천시 부천로6번길 30 (심곡동)
1020042,양산 평산 르이데아,50549,경상남도 양산시 평산중앙1길 6
1020050,부산 송정 GO,48070,부산광역시 해운대구 송정중앙로39번길 2-18
1020051,인천(강화도) 자유공간,23041,인천광역시 강화군 선원면 중앙로 169
1020054,포천(일동) 하이트,11115,경기도 포천시 일동면 성장로 499
1020056,일산(탄현) 더휴식 아늑,10343,경기도 고양시 일산서구 일현로41번길 8-32
1020061,인천(부평) 굿타임,21395,인천광역시 부평구 경원대로1417번길 18-9
1020062,대전 유성 자우리,34168,대전 유성구 대학로 47-18 (봉명동)
1020063,순천 브라운,57960,전라남도 순천시 상풍길 33
1020065,여수 호텔 앙코르,59689,전라남도 여수시 시청동2길 33
1020070,아산 카네기,31526,충청남도 아산시 번영로234번길 6 (모종동)
1020071,포항 대도동 화이트,37820,경상북도 포항시 남구 문예로100번길 8
1020074,포천 석화모텔,11105,경기도 포천시 영북면 운천로34번길 5-1
1020078,광주 상무 호텔 스테이53,61963,광주광역시 서구 상무연하로 6 (치평동)
1020079,고성 와와텔,52950,경상남도 고성군 상리면 상정대로 1885-14
1020082,구례 산동 약수장,57603,전라남도 구례군 산동면 지리산온천로 146
1020083,전주 신시가지 쿡,54969,전라북도 전주시 완산구 홍산북로 84-10
1020087,일산(대화) 라트리,10381,경기도 고양시 일산서구 중앙로 1560-22 (대화동)
1020095,대전 오정 Q,34439,대전광역시 대덕구 오정로76번길 77 (오정동)
1020096,대전 유성 젠,34187,대전광역시 유성구 계룡로155번길 26-7
1020099,부산 하단 퍼블릭,49312,부산광역시 사하구 하신번영로300번길 100-5 (하단동)
1020105,해남 월드 펜션,59047,전라남도 해남군 삼산면 대흥사길 154-8
1020107,삼성 캘리포니아,06160,서울 강남구 선릉로100길 52 (삼성동)
1020110,김해 장유 호텔 런더너,50988,경상남도 김해시 번화1로75번길 23 (대청동)
1020116,부산 연산 토곡 브라운도트 연산토곡점,47558,부산 연제구 과정로191번길 47 (연산동)
1020118,영천 휴,38890,경상북도 영천시 완산중앙3길 42
1020119,서산(대산) 그린호텔,31909,충청남도 서산시 대산읍 충의로 1853-1
1020123,세종 이브,30049,세종특별자치시 연서면 대첩로 144
1020128,사천 호텔 OK,52519,경상남도 사천시 사천읍 진삼로 1485-9
1020130,남원 발리,55739,전라북도 남원시 옥정4길 5
1020136,창원 마산 붐,51713,경상남도 창원시 마산합포구 해안대로 396
1020137,하동 성운각,52303,경상남도 하동군 화개면 화개로 48
1020140,용인 SR디자인 호텔,17051,경기 용인시 처인구 금령로90번길 5 (김량장동)
1020141,양산 석산 S,50639,경상남도 양산시 동면 금오10길 43-23
1020145,춘천 드라마,24272,강원도 춘천시 서부대성로44번길 16
1020146,창원 마산 바다뷰,51797,경상남도 창원시 마산합포구 진전면 회진로 1398-135 (바다모텔)
1020148,거제도 장승포 휴,53319,경남 거제시 장승포해안로 10
1020150,부산 광안리 블루문,48303,부산광역시 수영구 광안로62번길 38 (광안동)
1020152,서천 소곡스테이,33657,충청남도 서천군 마서면 장산로 763
1020157,대전 월평 디엠프레스 호텔,35222,대전광역시 서구 한밭대로570번길 29-20(월평동)
1020161,담양 노라 무인텔,57301,전라남도 담양군 금성면 금성산성길 282-28
1020162,진주 B&W,52664,경상남도 진주시 진주대로 1200
1020163,성남 YAJA 수진역점,13356,경기 성남시 중원구 산성대로 164 (성남동)
1020165,부산 하단 츄츄,49311,부산광역시 사하구 낙동남로1423번길 33
1020166,청주 더 잠 (The Zam),28480,충청북도 청주시 청원구 내덕로8번길 16
1020167,통영 필,53014,경상남도 통영시 광도면 죽림5로 25-61
1020168,경주 불국사 W,38127,경상북도 경주시 영불로 246 (진현동)
1020169,거제도 해금강 파타야,53334,경상남도 거제시 남부면 해금강2길 1-1
1020196,파주(금촌) 백두,10929,경기도 파주시 금정로 80-12 (성심모텔)
1020198,군산 뉴폭스,54012,전라북도 군산시 소룡1길 60
1020199,안동 연,36669,경상북도 안동시 서부시장2길 55
1020201,익산 엠플러스,54675,전라북도 익산시 목천로7길 6 (인화동1가)
1020202,속초 하루 게스트하우스,24822,강원도 속초시 장안로 19-1 (동명동)
1020203,양양 파티 게스트하우스 낙산점,25009,강원도 양양군 강현면 해맞이길 4
1020207,익산 환타지아,54674,전라북도 익산시 목천로1길 12-6
1020209,시흥 팜,15040,경기도 시흥시 옥구상가4길 24-6 (정왕동)
1020211,울산 진하 아리아나,45013,울산광역시 울주군 서생면 깨목길 29
1020212,김천 칸,39663,경상북도 김천시 남면 운남로 238-14
1020213,부산 당리 오투,49411,부산광역시 사하구 낙동대로 391 (당리동)
1020214,포항 대잠동 비즈니스 A,37761,경상북도 포항시 남구 새천년대로 436 (대잠동)
1020216,진주 폴럭스 호텔,52776,경상남도 진주시 상대로 57-3
1020218,신림 러브,08760,서울특별시 관악구 신림로65길 16-11
1020223,경주 나인,38060,경상북도 경주시 충효중앙길 83
1020224,서울역 계림,04300,서울특별시 용산구 만리재로36길 5
1020225,부산 연산동 YOU아인,47576,부산광역시 연제구 월드컵대로120번길 14
1020227,파주 호텔 CC,10845,경기도 파주시 탄현면 엘씨디로241번길 39-45
1020229,신림 더스토리,08760,서울 관악구 신림동1길 4 (신림동)
1020234,부산 광안리 호텔 마레,48304,부산광역시 수영구 남천바다로 30
1020235,익산 서동,54593,전라북도 익산시 중앙로1길 46-3 (남중동)
1020241,순천 단꿈스테이,57964,전라남도 순천시 역전길 63
1020245,전주 우아동 호텔 라임(HOTEL LIME),55023,전북 전주시 덕진구 아중4길 13-3
