LDGS_CD,LDGS_NM,LDGS_ZIP_NO,LDGS_ROAD_NM_ADDR
23618,신촌 렉시,03779,서울특별시 서대문구 연세로2가길 14
23625,창원 마산 카페,51751,경상남도 창원시 마산합포구 월영동서로 17
23628,평촌 쁠랑,14066,경기 안양시 동안구 관평로182번길 30 (관양동)
23639,인천(주안) 호텔마음,22135,인천광역시 미추홀구 주안중로50번길 13-14(주안동)
23645,인천(주안) 호텔 레인보우,22139,인천광역시 미추홀구 경인로349번길 37(주안동)
23647,서초 LAVA 교대남부터미널,06651,서울특별시 서초구 효령로53길 40 (서초동)
23649,고양(토당) 휴,10508,경기도 고양시 덕양구 토당로 90-17
23651,부여 문스톤,33151,충청남도 부여군 부여읍 사비로72번길 14
23654,대전 유성 뉴큐피트,34169,대전 유성구 장대로 16-18 (봉명동)
23664,신천 식스티,05557,서울 송파구 올림픽로12길 4-12 (잠실동)
23666,인천(부평) 웰빙,21395,인천 부평구 대정로90번길 29 (부평동)
23681,김해 장유 MU,51004,경상남도 김해시 번화2로 61-1
23683,안산 워커스 호텔 by 아늑,15326,경기도 안산시 상록구 성호로1길 12-4 (일동)
23686,광주 곤지암 윌 무인텔,12807,경기도 광주시 초월읍 산이길 8
23693,광주 신안동 여기서자자,61252,광주광역시 북구 경양로119번길 29
23698,대전 용전 타임터미널 by 아늑,34549,대전광역시 동구 동서대로1683번길 76-7
23701,부천(심곡동) 노블레스 부천역점,14643,경기도 부천시 부천로10번길 49
23704,인천(주안) 더자자,22135,인천광역시 미추홀구 석바위로101번길 2
23707,경산 러브웨이,38636,경상북도 경산시 향교길 66-1
23708,포항 영일대 포스,37708,경상북도 포항시 북구 해안로 55
23713,화순 퀸 무인텔,58148,전라남도 화순군 도곡면 온천1길 28-5
23717,동탄 첼시,18453,경기도 화성시 동탄지성로 12
23720,김해 어방동 호텔 더엠 (HOTEL THE M),50844,경상남도 김해시 분성로511번길 8
23721,수원시청역 수,16571,경기도 수원시 권선구 권광로123번길 32 (권선동)
23722,김해 장유 폴리엠,50988,경상남도 김해시 번화1로 73
23725,왕십리 컬리넌,04709,서울특별시 성동구 무학로2길 47
23727,영등포 샵,07302,서울특별시 영등포구 영중로8길 5 (영등포동3가)
23728,광주 상무 큐(Q),61968,광주광역시 서구 월드컵4강로181번길 33
23729,전주 산정동 코자자,55015,전북 전주시 덕진구 산정2길 18 (산정동)
23731,밀양 인 무인텔,50404,경상남도 밀양시 부북면 무안로 771
23749,신촌 캠퍼스,03779,서울 서대문구 연세로2나길 3 (창천동)
23759,수원시청역 프라하,16571,경기도 수원시 권선구 경수대로384번길 42-1
23760,청량리 31page,02554,서울특별시 동대문구 왕산로 238-1 (전농동)
23766,청주 메리제인,28418,충청북도 청주시 흥덕구 짐대로72번길 13
23774,대구 원대동 에버그린,41730,대구광역시 서구 달서로 276 (원대동3가)
23780,대전 용전 시네마,34550,대전광역시 동구 동서대로1725번길 18
23785,구미 옥계 노비오스,39189,경상북도 구미시 옥계남로 31
23786,춘천 호텔 코지,24272,강원도 춘천시 금강로 31
23787,종로 시네마,03133,서울특별시 종로구 수표로28길 12-5
23792,안산(중앙동) 호텔 레이블 안산중앙역점,15360,경기 안산시 단원구 고잔2길 42 (고잔동)
23810,인천(간석동) 파이,21544,인천 남동구 석촌로46번길 47 (간석동)
23815,대전 유성 모텔나인,34184,대전광역시 유성구 한밭대로492번길 16-26
23817,수원 영통 月 (월),16705,경기도 수원시 영통구 청명남로34번길 7 (영통동)
23818,세종 스카이 무인텔,30012,세종 전동면 소죽골길 24
23820,대구 동성로 호텔 엠티라이프(MT LIFE),41934,대구 중구 종로 37 (종로2가)
23824,신촌 HIP,03780,서울특별시 서대문구 연세로2길 82
23826,이천 힐링 무인텔,17368,경기도 이천시 설봉로 52
23829,인천(부평) IMT,21395,인천광역시 부평구 대정로82번길 19 (부평동)
23832,광주 하남 프라다,62359,광주광역시 광산구 무진대로211번길 13-16 (우산동)
23833,광주 하남 블루,62359,광주광역시 광산구 무진대로231번길 13-24
23835,부산 송정 아이엠,48070,부산광역시 해운대구 송정중앙로39번길 16
23837,서초 NINETH 남부터미널,06651,서울 서초구 반포대로14길 51 (서초동)
23838,부천(중동) 모리호텔,14582,경기도 부천시 부흥로307번길 46
23841,포항 죽도시장 타히티,37758,경상북도 포항시 북구 중흥로101번길 8-4
23842,신천 MW,05558,서울 송파구 올림픽로12길 5-9 (잠실동)
23844,포항 오천 몬타나,37912,경상북도 포항시 남구 오천읍 정몽주로 520
23845,춘천 VIP,24272,강원특별자치도 춘천시 금강로13번길 21
23857,시흥 H,15066,경기도 시흥시 중심상가1길 9
23858,신촌 S,04100,서울 마포구 서강로 128 (노고산동)
23861,구미 원평동 렉스,39227,경상북도 구미시 금오시장로3길 13 (원평동)
23865,부산 영도 Q,49008,부산광역시 영도구 해양로 50
23870,대구 경북대 로미오,41572,대구광역시 북구 대현로 30 (대현동)
23876,군포 리츠,15855,경기도 군포시 봉성로5번길 8 (리츠모텔)
23883,종로 누누,03139,서울특별시 종로구 수표로22길 8
23885,수유 르씨엘,01073,서울특별시 강북구 도봉로85길 7-5
23888,광주 신안동 러브스토리,61251,광주광역시 북구 무등로218번길 38
23889,군산 섬 호텔,54003,전라북도 군산시 비응남로 38
23895,충주 렉시,27424,충청북도 충주시 상방7길 5
23906,산본 MUL,15865,경기도 군포시 산본로323번길 7 (금성프라자빌딩)
23915,부산 학장 369,47047,부산광역시 사상구 학감대로134번길 6 (학장동)
23920,안양 SS(상상),14001,경기 안양시 만안구 병목안로 12 (안양동)
23923,화곡 테마,07727,서울특별시 강서구 화곡로 176-16
23925,안산 돔,15361,경기도 안산시 단원구 고잔2길 87
23927,부산 서면 투헤븐,47353,부산광역시 부산진구 황령대로7번길 8 (범천동)
23930,안양 호텔 패션,13992,경기도 안양시 만안구 장내로143번길 5(안양동)
23934,구리 C 호텔,11928,경기도 구리시 안골로 95-2
23937,의왕 HOTEL ON,16037,경기도 의왕시 복지로 6
23940,신림 돈키호텔,08754,서울 관악구 신림로66길 30 (신림동)
23944,화곡 초콜릿,07777,서울 강서구 강서로5가길 24 (화곡동)
23946,익산 N파크텔,54660,전북 익산시 배산로6길 29-1 (모현동1가)
23947,하남 루시 호텔,12950,경기도 하남시 하남대로776번길 14-30
23953,인천(주안) 프로포즈,22135,인천광역시 미추홀구 주안중로 45-1
23958,부산 해운대 쇼,48094,부산광역시 해운대구 구남로8번길 38
23960,대전 유성 스파타워,34186,대전광역시 유성구 온천로107번길 40
23961,부천 자자,14634,경기도 부천시 부천로29번길 22
23964,신림 포도,08754,서울특별시 관악구 신림로64길 16
23965,수원역 라임 (Lime),16455,경기 수원시 팔달구 향교로3번길 23-1
23969,신촌 에이플러스,03780,서울특별시 서대문구 연세로2길 50 (창천동)
23972,울산 신정동 그랜드,44690,울산광역시 남구 중앙로204번길 13
23976,평택(안중) O2,17816,경기도 평택시 안중읍 안현로서1길 12
23989,장안 행복한눈물,02624,서울 동대문구 장한로 97 (장안동)
23990,안성 쇼,17516,경기도 안성시 삼죽면 서동대로 6226-10
23991,대구 경북대 에코(ECO),41543,대구광역시 북구 대구체육관로 34
23999,부산 온천장 큐브,47712,부산광역시 동래구 차밭골로20번길 55 (온천동)
24003,대전 유천 시애틀,34978,대전광역시 중구 대둔산로494번길 15 (유천동)
24004,전주 금암동 뷰티,54933,전북 전주시 덕진구 용산3길 8 (금암동)
24005,잠실 타임,05542,서울특별시 송파구 올림픽로32길 4
24007,아산 베르사체,31508,충청남도 아산시 번영로69번길 21 (베르사체모텔)
24010,울산 진하 짝,45013,울산광역시 울주군 서생면 진하9길 16
24011,성신여대역 호텔 월드스테이,02846,서울특별시 성북구 동소문로18길 24-20 (동소문동5가)
24014,대구 동천동 뉴오페라 (더케이),41423,대구광역시 북구 동천로 138-6 (동천동)
24023,구미 원평동 펀,39230,경상북도 구미시 송원서로4길 20
24029,대구 성서 hotel the stay 낭만,42713,대구광역시 달서구 호산동로 84-12
24030,시흥 지앤미,15036,경기도 시흥시 서촌상가4길 8-4
24031,인천(석남동) 호텔 더 브라운,22789,인천광역시 서구 칠천왕로 18
24033,월곶 에비뉴 S,14966,경기 시흥시 월곶중앙로58번길 30 (월곶동)
24035,대전 용전 피아노,34549,대전광역시 동구 동서대로1683번길 94-4
24043,전주 금암동 스카이쇼1 무인텔,54933,전라북도 전주시 덕진구 용산2길 11 (금암동)
24049,수원(인계동) 리치호텔,16488,경기도 수원시 팔달구 인계로166번길 48-12
24064,인천(주안) 로지,22135,인천광역시 미추홀구 주안중로 32
24079,금정 초콜릿,15811,경기도 군포시 군포로741번길 7
24086,천안 스위트,31146,충남 천안시 서북구 양지17길 5
24087,양산 북부동 와,50619,경상남도 양산시 북안남2길 6-6
24089,부산 구서동 G&G,46274,부산광역시 금정구 금정로 242 (구서동)
24090,세종 자자무인텔,30067,세종특별자치시 연동면 샘째길 16-11
24092,춘천 LEO 호텔,24213,강원도 춘천시 동면 춘천로 558
24095,답십리 부티크 호텔 K,02622,서울특별시 동대문구 천호대로 341
24098,신촌 앨리(Alley),03780,서울특별시 서대문구 연세로2마길 20 (대현동)
24102,수원역 25H,16455,경기 수원시 팔달구 향교로3번길 50 (매산로1가)
24106,전주 금암동 타임,54933,전라북도 전주시 덕진구 용산1길 11 (금암동)
24110,산본 스테이 온 호텔,15865,경기도 군포시 산본로323번길 4-7
24113,수원(인계동) 꿀,16490,경기도 수원시 팔달구 효원로249번길 46-7
24114,동해 본스테이,25770,강원도 동해시 동굴로 125-4 (천곡동)
24115,제부도(궁평항) 씨사이드,18556,경기도 화성시 서신면 수문개길 97
24119,파주 호텔 더 헤이리,10858,경기도 파주시 탄현면 새오리로161번길 53-37
24120,미아 황금,01164,서울특별시 강북구 도봉로24길 19
24123,의정부 퓨전,11712,경기도 의정부시 평화로168번길 70
24126,전주 중화산동 조아,54985,전북 전주시 완산구 한두평4길 5-5
