일시,지역명,시군구,방문자 수
02,강원특별자치도,고성군,1390046
02,강원특별자치도,춘천시,8799700
02,강원특별자치도,원주시,9729742
02,강원특별자치도,강릉시,7694509
02,강원특별자치도,동해시,2782755
02,강원특별자치도,태백시,1448735
02,강원특별자치도,속초시,3760455
02,강원특별자치도,삼척시,2065059
02,강원특별자치도,홍천군,2486112
02,강원특별자치도,횡성군,1544253
02,강원특별자치도,영월군,1005685
02,강원특별자치도,평창군,2413082
02,강원특별자치도,정선군,1557566
02,강원특별자치도,철원군,1250422
02,강원특별자치도,화천군,742464
02,강원특별자치도,양구군,690590
02,강원특별자치도,인제군,1164774
02,강원특별자치도,양양군,1714395
02,경기도,고양시 덕양구,1.17E+07
02,경기도,고양시 일산동구,9224509
02,경기도,고양시 일산서구,7293317
02,경기도,성남시 수정구,6498946
02,경기도,성남시 중원구,4290919
02,경기도,성남시 분당구,1.69E+07
02,경기도,수원시 장안구,7834053
02,경기도,수원시 권선구,7503102
02,경기도,수원시 팔달구,8738144
02,경기도,수원시 영통구,9574435
02,경기도,안산시 상록구,5336324
02,경기도,의정부시,1.03E+07
02,경기도,안산시 단원구,9163318
02,경기도,안양시 만안구,5455548
02,경기도,부천시,0
02,경기도,광명시,6612797
02,경기도,평택시,1.28E+07
02,경기도,동두천시,2246360
02,경기도,안양시 동안구,7710604
02,경기도,용인시 처인구,8049777
02,경기도,용인시 기흥구,1.11E+07
02,경기도,용인시 수지구,7829725
02,경기도,과천시,3055112
02,경기도,구리시,7059204
02,경기도,남양주시,1.51E+07
02,경기도,오산시,5984797
02,경기도,시흥시,1.02E+07
02,경기도,군포시,6207038
02,경기도,의왕시,4130914
02,경기도,하남시,9382753
02,경기도,파주시,1.10E+07
02,경기도,이천시,6875418
02,경기도,안성시,6062166
02,경기도,김포시,1.16E+07
02,경기도,화성시,2.13E+07
02,경기도,광주시,9686178
02,경기도,양주시,6861559
02,경기도,포천시,4322138
02,경기도,여주시,4123650
02,경기도,연천군,1473284
02,경기도,가평군,2722381
02,경기도,양평군,4167783
02,경기도,부천시 원미구,1.21E+07
02,경기도,부천시 소사구,4418789
02,경기도,부천시 오정구,3347602
02,경상남도,고성군,1640918
02,경상남도,창원시 의창구,6053204
02,경상남도,창원시 성산구,6789651
02,경상남도,창원시 마산합포구,4962017
02,경상남도,창원시 마산회원구,4314557
02,경상남도,창원시 진해구,3878480
02,경상남도,진주시,6694332
02,경상남도,통영시,3406442
02,경상남도,사천시,2852163
02,경상남도,김해시,1.17E+07
02,경상남도,밀양시,3064309
02,경상남도,거제시,8314182
02,경상남도,양산시,8557895
02,경상남도,의령군,797088
02,경상남도,함안군,1767878
02,경상남도,창녕군,1705411
02,경상남도,남해군,1348989
02,경상남도,하동군,1053072
02,경상남도,산청군,990043
02,경상남도,함양군,1136630
02,경상남도,거창군,1591341
02,경상남도,합천군,1172761
02,경상북도,경주시,8626529
02,경상북도,김천시,3440148
02,경상북도,안동시,4762641
02,경상북도,구미시,8093283
02,경상북도,영주시,2796993
02,경상북도,영천시,2469310
02,경상북도,상주시,2748902
02,경상북도,문경시,1849016
02,경상북도,경산시,5415665
02,경상북도,의성군,1352432
02,경상북도,청송군,778618
02,경상북도,영양군,327049
02,경상북도,영덕군,1515778
02,경상북도,청도군,1369948
02,경상북도,고령군,865588
02,경상북도,성주군,1289148
02,경상북도,칠곡군,3136846
02,경상북도,예천군,1461926
