±âÁØ¿¬¿ù,Áö¿ª¸í,°Ë»ö·®(°Ç)
202301,°æ»óºÏµµ ¿ï¸ª±º ,3271
202302,°æ»óºÏµµ ¿ï¸ª±º ,3726
202303,°æ»óºÏµµ ¿ï¸ª±º ,3268
202304,°æ»óºÏµµ ¿ï¸ª±º ,5001
202305,°æ»óºÏµµ ¿ï¸ª±º ,5059
202306,°æ»óºÏµµ ¿ï¸ª±º ,6971
202307,°æ»óºÏµµ ¿ï¸ª±º ,7121
202308,°æ»óºÏµµ ¿ï¸ª±º ,9016
202309,°æ»óºÏµµ ¿ï¸ª±º ,5998
202310,°æ»óºÏµµ ¿ï¸ª±º ,6414
202311,°æ»óºÏµµ ¿ï¸ª±º ,4793
202312,°æ»óºÏµµ ¿ï¸ª±º ,3874
