기준연월,지역명,검색량(건)
202301,경상북도 의성군 ,4418
202302,경상북도 의성군 ,3980
202303,경상북도 의성군 ,5810
202304,경상북도 의성군 ,6683
202305,경상북도 의성군 ,6004
202306,경상북도 의성군 ,6380
202307,경상북도 의성군 ,6645
202308,경상북도 의성군 ,6889
202309,경상북도 의성군 ,5186
202310,경상북도 의성군 ,6188
202311,경상북도 의성군 ,5689
202312,경상북도 의성군 ,4918
