±âÁØ¿¬¿ù,Áö¿ª¸í,°Ë»ö·®(°Ç)
202301,°æ»óºÏµµ Ä¥°î±º ,11482
202302,°æ»óºÏµµ Ä¥°î±º ,9391
202303,°æ»óºÏµµ Ä¥°î±º ,9583
202304,°æ»óºÏµµ Ä¥°î±º ,11409
202305,°æ»óºÏµµ Ä¥°î±º ,11484
202306,°æ»óºÏµµ Ä¥°î±º ,12414
202307,°æ»óºÏµµ Ä¥°î±º ,14567
202308,°æ»óºÏµµ Ä¥°î±º ,13320
202309,°æ»óºÏµµ Ä¥°î±º ,11765
202310,°æ»óºÏµµ Ä¥°î±º ,14035
202311,°æ»óºÏµµ Ä¥°î±º ,11437
202312,°æ»óºÏµµ Ä¥°î±º ,12923
