扁霖楷岿,瘤开疙,八祸樊(扒)
202301,面没巢档 全己焙 ,8642
202302,面没巢档 全己焙 ,9409
202303,面没巢档 全己焙 ,10124
202304,面没巢档 全己焙 ,12250
202305,面没巢档 全己焙 ,12150
202306,面没巢档 全己焙 ,10668
202307,面没巢档 全己焙 ,11214
202308,面没巢档 全己焙 ,10712
202309,面没巢档 全己焙 ,12883
202310,面没巢档 全己焙 ,13100
202311,面没巢档 全己焙 ,11889
202312,面没巢档 全己焙 ,11197
